segment,feature_no,feature,broker,available_Yes_No_Unknown,evidence_url,accessed_date,note,filled_by
Derivatives,19,Open API / algorithmic trading,DNSE,Yes,https://www.dnse.com.vn/,2026-09-26,"Lightspeed API, AmiBroker connector",Claude (web)
Derivatives,20,Built-in charting and technical analysis,DNSE,Yes,https://www.dnse.com.vn/,2026-09-26,TradingView integration,Claude (web)
Derivatives,21,Derivatives demo or education,DNSE,Yes,https://hdsd.dnse.com.vn/,2026-09-26,Derivatives guide + FAQ; no demo,Claude (web)
Derivatives,22,Order placement outside trading hours,DNSE,Yes,https://hdsd.dnse.com.vn/man-hinh-giao-dich/2.-huong-da-n-giao-di-ch-tren-app/dat-lenh-giao-dich-tren-app/dat-lenh-24-7-tren-app.md,2026-09-26,24/7 orders (stated for cash equities),Claude (web)
New investors,1,Online account opening with eKYC (same day),SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/mo-tai-khoan-truc-tuyen-qua-iboard-pro,2026-09-26,"Online, trade after 3 minutes",Claude (web)
New investors,2,"Zero or near-zero stock brokerage fee (all-in, incl. exchange fee)",SSI,No,https://www.ssi.com.vn/khach-hang-ca-nhan/bieu-phi/bieu-gia-dich-vu-giao-dich-chu-dong,2026-09-26,0.15% online self-directed,Claude (web)
New investors,3,Odd-lot / fractional share trading in app,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/quan-ly-tai-san-iboard-pro,2026-09-26,Odd lot 1-99 shares,Teammate (checked 26/9)
New investors,4,Beginner education content or academy,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan,2026-09-26,"Trung tâm kiến thức, training, seminars",Claude (web)
New investors,5,Paper trading / demo account,SSI,No,https://www.ssi.com.vn/khach-hang-ca-nhan/phai-sinh-faq,2026-09-26,iWin/Paper Trading existed earlier; not found in current iBoard,Teammate (checked 26/9)
New investors,6,Referral or first-trade reward programme,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan,2026-09-26,Introducer commission up to 90%,Claude (web)
New investors,7,"Copy-trade, model portfolio or robo-advice",SSI,No,https://www.ssi.com.vn/khach-hang-ca-nhan,2026-09-26,Verified by Phong: no copy-trade / robo-advice,Phong (manual)
New investors,8,Small-ticket investing (fund / bond / periodic DCA),SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan,2026-09-26,"Open fund SSI SCA, SBOND",Claude (web)
Margin,9,Instant online margin activation,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/giao-dich-ky-quy,2026-09-26,Verified by Phong: margin can be opened online in the app,Phong (manual)
Margin,10,Multiple margin packages / rate tiers,SSI,Yes,https://ssi.com.vn/khach-hang-ca-nhan/giao-dich-chung-khoan-iboard-pro,2026-09-26,Loan packages screen; Margin T7,Claude (web)
Margin,11,Interest-free or promotional margin rate,SSI,Yes,https://www.ssi.com.vn/tin-tuc/tin-tuc-su-kien-ssi/cap-nhat-goi-vay-margin-t7,2026-09-26,7 days interest-free (validity dates unknown),Claude (web)
Margin,12,Marginable stock list size (write the number),SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/giao-dich-ky-quy,2026-09-26,List published weekly; count not stated,Claude (web)
Margin,13,Real-time margin-call alerts (push / SMS),SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/giao-dich-ky-quy,2026-09-26,SMS/Email margin notices,Claude (web)
Margin,14,Online advance of sale proceeds (ung truoc),SSI,Yes,https://ssi.com.vn/khach-hang-ca-nhan/nen-tang-giao-dich/nen-tang-mobile-trading/iboard-pro,2026-09-26,Online advance,Claude (web)
Margin,15,Margin rate shown transparently in app,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/bieu-phi/bieu-gia-dich-vu-tai-chinh,2026-09-26,13.5%/yr published,Claude (web)
Derivatives,16,VN30 futures trading in main mobile app,SSI,Yes,https://ssi.com.vn/khach-hang-ca-nhan/nen-tang-giao-dich/nen-tang-mobile-trading/iboard-pro,2026-09-26,iBoard Pro: cash + derivatives,Claude (web)
Derivatives,17,Conditional orders (stop-loss / take-profit / OCO),SSI,Yes,https://ssi.com.vn/khach-hang-ca-nhan/giao-dich-chung-khoan-iboard-pro,2026-09-26,"Stop, trailing, OCO, TP/SL",Claude (web)
Derivatives,18,Volume-tiered or zero derivatives fee,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/bieu-phi/bieu-gia-dich-vu-giao-dich-chu-dong,2026-09-26,"2,000/1,500/500 VND tiers",Claude (web)
Derivatives,19,Open API / algorithmic trading,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/fast-connect-api,2026-09-26,SSI FastConnect API (official page),Claude (web search)
Derivatives,20,Built-in charting and technical analysis,SSI,Yes,https://ssi.com.vn/khach-hang-ca-nhan/giao-dich-chung-khoan-iboard-pro,2026-09-26,Derivatives chart screen,Claude (web)
Derivatives,21,Derivatives demo or education,SSI,Yes,https://www.ssi.com.vn/khach-hang-ca-nhan/phai-sinh-faq,2026-09-26,FAQ + intro article; no demo,Claude (web)
Derivatives,22,Order placement outside trading hours,SSI,Yes,https://ssi.com.vn/khach-hang-ca-nhan/giao-dich-chung-khoan-iboard-pro,2026-09-26,Conditional orders any time of day,Claude (web)
New investors,1,Online account opening with eKYC (same day),VPS,Yes,https://openaccount.vps.com.vn/checkaccount,2026-09-26,Online account opening + eKYC in SmartOne (official page; guides on chungkhoanvps.com.vn),Claude (web search)
New investors,2,"Zero or near-zero stock brokerage fee (all-in, incl. exchange fee)",VPS,No,BA dataset 2.5_Pricing [S2],2026-09-26,0.20% online self-directed,Claude (web)
New investors,3,Odd-lot / fractional share trading in app,VPS,Yes,https://smartone.vps.com.vn/vi-VN/Home/ClauseInfo,2026-09-26,,Teammate (checked 26/9)
New investors,4,Beginner education content or academy,VPS,Yes,https://www.vps.com.vn/,2026-09-26,'Kiến thức đầu tư' and 'Dành cho nhà đầu tư mới' sections (screenshot),Teammate (checked 26/9)
New investors,5,Paper trading / demo account,VPS,No,,2026-09-26,No stock demo; derivatives demo SmartEasy exists (see #21),Teammate (checked 26/9)
New investors,6,Referral or first-trade reward programme,VPS,Yes,vps.com.vn (Phong),2026-09-26,Referral / promotion programmes present,Phong (manual)
New investors,7,"Copy-trade, model portfolio or robo-advice",VPS,No,,2026-09-26,Stock app SmartOne: no; derivatives app SmartPro has copy-trade (not a stock-investor feature),Teammate (checked 26/9)
New investors,8,Small-ticket investing (fund / bond / periodic DCA),VPS,Yes,https://www.vps.com.vn/dich-vu-chung-khoan-trai-phieu-va-quy-mo.aspx,2026-09-26,Bonds and open-ended funds offered,Claude (web search)
Margin,9,Instant online margin activation,VPS,Yes,https://mgi.com.vn/mgi-huong-dan-chi-tiet-cach-mo-tai-khoan-margin-tai-vps/,2026-09-26,,Teammate (checked 26/9)
Margin,10,Multiple margin packages / rate tiers,VPS,Yes,https://vps.com.vn/ca-nhan/ho-tro/cau-hoi-thuong-gap/chuong-trinh-uu-dai-lai-suat-vay-margin-tai-vps-hien-nay-la-gi,2026-09-26,,Teammate (checked 26/9)
Margin,11,Interest-free or promotional margin rate,VPS,Yes,vps.com.vn (Phong); BA 2.5_Pricing [S13],2026-09-26,Promotional margin rate 8.8% for new customers,Phong (manual)
Margin,12,Marginable stock list size (write the number),VPS,Yes,vps.com.vn Danh mục chứng khoán ký quỹ (Phong),2026-09-26,Marginable list published; count not recorded,Phong (manual)
Margin,13,Real-time margin-call alerts (push / SMS),VPS,Yes,https://smartone.vps.com.vn/,2026-09-26,SmartOne shows margin status/call margin; push + SMS alerts per secondary sources (search summary) - weak evidence,"Phong (search, 26/9)"
Margin,14,Online advance of sale proceeds (ung truoc),VPS,Yes,https://smartone.vps.com.vn/Home/BriefUserGuide,2026-09-26,Section 6.5 online advance,Teammate (checked 26/9)
Margin,15,Margin rate shown transparently in app,VPS,Yes,vps.com.vn Biểu phí (Phong),2026-09-26,Margin rate published in fee schedule (13.8%),Phong (manual)
Derivatives,16,VN30 futures trading in main mobile app,VPS,Yes,https://www.tinnhanhchungkhoan.vn/vps-cung-cap-lenh-dieu-kien-dap-ung-nhu-cau-dau-tu-chung-khoan-phai-sinh-hieu-qua-post280661.html,2026-09-26,Derivatives trading on SmartOne,Claude (web search)
Derivatives,17,Conditional orders (stop-loss / take-profit / OCO),VPS,Yes,https://smartone.vps.com.vn/Templates/huong_dan_su_dung_lenh_dieu_kien.pdf,2026-09-26,Official conditional-order guide (stop loss / take profit) incl. derivatives,Claude (web search)
Derivatives,18,Volume-tiered or zero derivatives fee,VPS,Yes,BA dataset 2.5_Pricing [S15],2026-09-26,"Volume tier 2,000 -> 1,000 VND/contract",Claude (web)
Derivatives,19,Open API / algorithmic trading,VPS,No,,2026-09-26,No Open API for clients,Teammate (checked 26/9)
Derivatives,20,Built-in charting and technical analysis,VPS,Yes,,2026-09-26,App screenshot: candlestick chart with MACD/RSI/BOLL,Teammate (checked 26/9)
Derivatives,21,Derivatives demo or education,VPS,Yes,,2026-09-26,SmartEasy derivatives simulator on real market data,Teammate (checked 26/9)
Derivatives,22,Order placement outside trading hours,VPS,Yes,https://vps.com.vn/ca-nhan/ho-tro?view=khung-gio-giao-dich,2026-09-26,"Stock orders 17:00-06:30 and weekends, queued for next session",Teammate (checked 26/9)
New investors,1,Online account opening with eKYC (same day),TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/chung-khoan-phai-sinh-ifuture/,2026-09-26,"Online in 3 minutes, same-day trading",Claude (web)
New investors,2,"Zero or near-zero stock brokerage fee (all-in, incl. exchange fee)",TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/co-phieu/nguyen-tac-giao-dich/,2026-09-26,Zero fee since 2023; exchange fee 0.03% only,Claude (web)
New investors,3,Odd-lot / fractional share trading in app,TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/co-phieu/nguyen-tac-giao-dich/,2026-09-26,Odd lots 1-99 on TCInvest,Claude (web)
New investors,4,Beginner education content or academy,TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/,2026-09-26,Knowledge section,Claude (web)
New investors,5,Paper trading / demo account,TCBS,No,,2026-09-26,Only guides; real account required,Teammate (checked 26/9)
New investors,6,Referral or first-trade reward programme,TCBS,Yes,https://help.tcbs.com.vn/,2026-09-26,"Refer-a-friend, iWealth Partner",Claude (web)
New investors,7,"Copy-trade, model portfolio or robo-advice",TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/,2026-09-26,"iCopy, TCWealth robo-advisor, iTracker",Claude (web)
New investors,8,Small-ticket investing (fund / bond / periodic DCA),TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/,2026-09-26,"Fundmart (27 funds), iBond, Micro Saving",Claude (web)
Margin,9,Instant online margin activation,TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/co-phieu/dich-vu-margin/,2026-09-26,"Margin usable immediately after activation, auto limit up to 10 bn",Claude (web)
Margin,10,Multiple margin packages / rate tiers,TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/co-phieu/dich-vu-margin/,2026-09-26,"Margin T+ (T5/T10), Marginsure, standard",Claude (web)
Margin,11,Interest-free or promotional margin rate,TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/,2026-09-26,From 0%/yr for 5-10 days,Claude (web)
Margin,12,Marginable stock list size (write the number),TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/co-phieu-istock/vay-ky-quy-margin/han-muc-vay-ky-quy/,2026-09-26,List as xlsx; count not stated,Claude (web)
Margin,13,Real-time margin-call alerts (push / SMS),TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/co-phieu/dich-vu-margin/,2026-09-26,"Verified by Phong: margin-call alerts via TCInvest app, SMS, email and branded call-centre calls",Phong (manual)
Margin,14,Online advance of sale proceeds (ung truoc),TCBS,Yes,https://help.tcbs.com.vn/ufaq/dich-vu-ung-truoc-tien-ban-la-gi,2026-09-26,,Teammate (checked 26/9)
Margin,15,Margin rate shown transparently in app,TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/co-phieu-istock/vay-ky-quy-margin/han-muc-vay-ky-quy/,2026-09-26,Shown on website; app shows no detail,Teammate (checked 26/9)
Derivatives,16,VN30 futures trading in main mobile app,TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/chung-khoan-phai-sinh-ifuture/,2026-09-26,Derivatives trading in TCInvest,Claude (web)
Derivatives,17,Conditional orders (stop-loss / take-profit / OCO),TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/phai-sinh/,2026-09-26,Derivatives conditional orders,Claude (web)
Derivatives,18,Volume-tiered or zero derivatives fee,TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/phai-sinh/,2026-09-26,Zero fee since 2023,Claude (web)
Derivatives,19,Open API / algorithmic trading,TCBS,Yes,https://developers.tcbs.com.vn/,2026-09-26,TCBS OpenAPI developer portal,Claude (web search)
Derivatives,20,Built-in charting and technical analysis,TCBS,Yes,https://www.tcbs.com.vn/ca-nhan/chung-khoan-phai-sinh-ifuture/,2026-09-26,~20 real-time technical charts,Claude (web)
Derivatives,21,Derivatives demo or education,TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/phai-sinh/,2026-09-26,FAQ; no demo,Claude (web)
Derivatives,22,Order placement outside trading hours,TCBS,Yes,https://help.tcbs.com.vn/hoi-nhanh-dap-hay/phai-sinh/,2026-09-26,Off-hours orders until 8:45 next day,Claude (web)
